fitment_vehicle_name,fitment_vehicle_handle,fitment_vehicle_gid,metaobject_type,aliases,updated_at,year,make,engine_liter,engine_family,engine_code,fields_json
2002 Volkswagen 1.6L TDI,2002-volkswagen-1-6l-tdi,gid://shopify/Metaobject/279916085613,fitment_vehicle,,2026-01-31T01:10:39Z,2002,volkswagen,1.6L,,TDI,"{""year"": ""2002"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""1.6L TDI"", ""display_name"": ""2002 Volkswagen 1.6L TDI""}"
2003 Chevrolet 6.6L Duramax LB7,2003-chevrolet-6-6l-duramax-lb7,gid://shopify/Metaobject/279911006573,fitment_vehicle,,2026-01-31T01:09:12Z,2003,chevrolet,6.6L,duramax,LB7,"{""year"": ""2003"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LB7"", ""display_name"": ""2003 Chevrolet 6.6L Duramax LB7""}"
2003 Ford 6.0L Powerstroke,2003-ford-6-0l-powerstroke,gid://shopify/Metaobject/279912874349,fitment_vehicle,,2026-01-31T01:09:44Z,2003,ford,6.0L,powerstroke,,"{""year"": ""2003"", ""make"": ""Ford"", ""model"": """", ""engine"": ""6.0L Powerstroke"", ""display_name"": ""2003 Ford 6.0L Powerstroke""}"
2003 Ford 7.3L Powerstroke,2003-ford-7-3l-powerstroke,gid://shopify/Metaobject/279914021229,fitment_vehicle,,2026-01-31T01:10:04Z,2003,ford,7.3L,powerstroke,,"{""year"": ""2003"", ""make"": ""Ford"", ""model"": """", ""engine"": ""7.3L Powerstroke"", ""display_name"": ""2003 Ford 7.3L Powerstroke""}"
2003 GMC 6.6L Duramax LB7,2003-gmc-6-6l-duramax-lb7,gid://shopify/Metaobject/279911039341,fitment_vehicle,,2026-01-31T01:09:12Z,2003,gmc,6.6L,duramax,LB7,"{""year"": ""2003"", ""make"": ""GMC"", ""model"": """", ""engine"": ""6.6L Duramax LB7"", ""display_name"": ""2003 GMC 6.6L Duramax LB7""}"
2003 Dodge/Ram 5.9L Cummins,2003-dodge-ram-5-9l-cummins,gid://shopify/Metaobject/279911596397,fitment_vehicle,,2026-01-31T01:09:22Z,2003,ram,5.9L,cummins,,"{""year"": ""2003"", ""make"": ""Dodge/Ram"", ""model"": """", ""engine"": ""5.9L Cummins"", ""display_name"": ""2003 Dodge/Ram 5.9L Cummins""}"
2003 Sprinter 2.7L,2003-sprinter-2-7l,gid://shopify/Metaobject/279917789549,fitment_vehicle,,2026-01-31T01:11:08Z,2003,sprinter,2.7L,,,"{""year"": ""2003"", ""make"": ""Sprinter"", ""model"": """", ""engine"": ""2.7L"", ""display_name"": ""2003 Sprinter 2.7L""}"
2003 Volkswagen 1.6L TDI,2003-volkswagen-1-6l-tdi,gid://shopify/Metaobject/279916118381,fitment_vehicle,,2026-01-31T01:10:40Z,2003,volkswagen,1.6L,,TDI,"{""year"": ""2003"", ""make"": ""Volkswagen"", ""model"": """", ""engine"": ""1.6L TDI"", ""display_name"": ""2003 Volkswagen 1.6L TDI""}"
2004 Chevrolet 6.6L Duramax LB7,2004-chevrolet-6-6l-duramax-lb7,gid://shopify/Metaobject/279911072109,fitment_vehicle,,2026-01-31T01:09:13Z,2004,chevrolet,6.6L,duramax,LB7,"{""year"": ""2004"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LB7"", ""display_name"": ""2004 Chevrolet 6.6L Duramax LB7""}"
2004.5 Chevrolet 6.6L Duramax LLY,2004-5-chevrolet-6-6l-duramax-lly,gid://shopify/Metaobject/279910318445,fitment_vehicle,,2026-01-31T01:09:01Z,2004,chevrolet,6.6L,duramax,LLY,"{""year"": ""2004.5"", ""make"": ""Chevrolet"", ""model"": """", ""engine"": ""6.6L Duramax LLY"", ""display_name"": ""2004.5 Chevrolet 6.6L Duramax LLY""}"
