f,,,,,,,,
,,,,,,,,
Manufacturer,Supplier,Average Discount from MAP,Reseller's Discount,,,,,
*Rare Parts Non-MAP Protected Parts,Rare Parts,30-45%,15.00%,,,,,
ReadyAIR,Wheel Pros,25.00%,10.00%,We make 30% discount on stock orders of $5k+ with free freight,,,,
ReadyLIFT,ReadyLIFT,42-55%,,Jobber - 40% = Cost,,,,
,A1 Distributing,,,,,,,
Recon Lighting,Recon Lighting,30.00%,15.00%,,,,,
,PPPWD,20.76%,,,,,,
Red-Head Steering Gears,Red-Head Steering Gears,16-25%,10.00%,Most high moving items have 25% margin,,,,
Reese,Keystone,,,,,,,
Replay Camera Systems,Replay,,,,,,,
*Camera System,,35.00%,15.00%,,,,,
*Camera Accessories,,50.00%,15.00%,,,,,
Rev-X Oil & Fuel Additive,Rev-X Oil & Fuel Additive,,,,,,,
*Rev-X Oil Additive,,42.39%,20.00%,,,,,
*Rev-X Fuel Additive,,44.51%,20.00%,,,,,
*Rev-X,XDP,25.00%,,,,,,
Rigid Industries,Addictive Desert Designs,36.00%,20.00%,,,,,
,Premier,38.50%,20.00%,,,,,
,Turn 14,38.50%,20.00%,,,,,
,Meyer,38.50%,,,,,,
,A1 Distributing,,,,,,,
River City turbo,River City Turbo,,,,,,,
*River City Turbo Rebuild Kits,,46.60%,20.00%,,,,,
*River City Turbo 6.0L PowerMax 68mm,,25.00%,10.00%,,,,,
Road Rage Gauges,Road Rage Gauges,20.00%,10.00%,we receive 30% discount if 2 or more purchase at a time,,,,
RockJock,Turn14,24.00%,,,,,,
Rock Slide Engineering,Rock Slide Engineering,30.00%,,,,,,
Rock Tamers Mud Flaps,Premier,32.52%,,$5 Flat Rate Shipping,,,,
,Meyer Distributing,32.52%,,,,,,
,A1 Distributing,,,,,,,
Rogue Racing,Rogue Racing,25.00%,,"For freight items, we pay 70%, they pay 30% | MAP is 5% back of Retail, we are selling at Retail ",,,,
RokBlokz Mud Flaps,RokBlokz,30.00%,,23% off 5-19-quantity orders (must request new coupon code),,,,
Rotomaster,ADP Distributors,30.00%,15.00%,"25% on dropshipments, extra 5% on stock orders over $10k",,,,
Royalty Core,Royalty Core,25.00%,,,,,,
S&B,S&B,33.00%,NO DISCOUNT WHATSOEVER,,"$5,000 = free freight (does not include tanks, but tanks net free shipping with 8 units)",,,
,PPPWD,23.00%,,,,,,
Savvy Off Road,Savvy,30.00%,,,,,,
Schaeffer's Lubricants,Schaeffer's Lubricants,40.00%,10.00%,$375 minimum stock order,,,,
SCT,,,,,,,,
*SCT iTSX,Premier,28.53%,NO DISCOUNT WHATSOEVER,,,,,
*SCT X4,Turn 14,32.08%,NO DISCOUNT WHATSOEVER,,,,,
*SCT from XDP,XDP,30.00%,NO DISCOUNT WHATSOEVER,,,w/ free NDA,,
*SCT,Derive,~40-42%,,extra 3% on all orders if we stock 80% of total sales each month.,,,,
SDHQ,SDHQ,20.00%,,we're setup at Level 3 pricing on a trial basis,,,,
Silverline,,,,,,,,
,Premier,25.00%,,,,,,
,XDP,25.00%,,with free shipping,,,,
Sinister Diesel,Sinister,35.00%,,,,,,
Skyjacker Suspension,Turn 14,25.00%,0.00%,,,,,
Smeding Diesel,Smeding Diesel,30.00%,,,,,,
Snow Performance,PPPWD/Turn 14,28.42%,10.00%,,,,,
*Snow Performance Boost Juice,PPPWD,25.00%,10.00%,,,,,
Snyder Performance,Stock Orders,30.00%,,,,,,
,Dropships,25.00%,,,,,,
,,,,,,,,
SoCal SuperTrucks Light Brackets,SoCal SuperTrucks,35.00%,15.00%,,,,,
SOTA Wheels,PPPWD,29.41%,10.00%,,,,,
,XDP,28.00%,,with shipping,,,,
South Bend Clutch,,,,,,,,
,PPPWD,22.68%,10.00%,$40 Flat Rate Shipping,,,,
,XDP,22.70%,10.00%,"with free shipping, XDP is best price, including competition clutches",,,,
,Thunder,22.68%,10.00%,Free Freight,,,,
,Turn 14,22.68%,10.00%,Free Freight,,,,
*South Bend,South Bend,36.08%,22.68%,"Sell at ""Dealer"" on price file",$15k nets free freight on stock orders | 38% Discount from MSRP,,,
SPE Diesel,Snyder Performance Engineering,50.00%,25.00%,,,,,
sPOD,sPOD,20.00%,5.00%,,,,,
Spyntec Industries,Spyntec Industries,20.00%,0.00%,,,,,
SSV Works,SSV Works,20.00%,0.00%,,,,,
Sprint Booster,Sprint Booster / JPC Online,42.00%,25.00%,,,,,
Steer Smarts,Steer Smarts,32.00%,18.00%,,,,,
StopTech,Turn 14,25.00%,10.00%,"they have MAP, but its not enforced",,,,
Sulastic Rubber Springs,Sulastic Rubber Springs,20.00%,0.00%,,,,,
Suncoast,Suncoast,25-35%,,,,,,
Superchips,,,,,,,,
,PPPWD,20.50%,10.00%,,,,,
,XDP,20.45%,,,,,,
,Powerteq,32.00%,,,,,,
Superlift,Superlift,40.00%,,Free Ground Shipping on orders over $500,,,,
,A1 Distributing,,,,,,,
Supersprings,,,,,,,,
,Keystone,20.00%,,,,,,
,Premier,31.00%,,,,,,
,XDP,20.00%,,,,,,
,A1 Distributing,,,,,,,
SuspensionMaxx,PPPWD,12.55-15.64%,0.00%,,,,,
*SuspensionMAXX Direct,,30.00%,,On most end links,,,,
*SuspensionMaxx Custom Length End Links,,26.71%,0.00%,,,,,
*SuspensionMaxx 10230,,26.17%,0.00%,,,,,
,,,,,,,,
Switch-Pros,Switch-Pros,30.00%,15.00%,,,,,
Synergy Suspension,Synergy / Poly Performance,,,,,,,
*Synergy STOCK LOAD,,40.00%,20.00%,,,,,
*SYNERGY DROP SHIPMENT OUT OF POLY PERFORMANCE,,25.00%,10.00%,,,,,
*Synergy,Turn14,30.00%,,,,,,
TCS Transmission,,25.00%,5.00%,"25% Margin includes $21 DS fee built into cost.  Also, doubled actual weight of product because they only ship on their account, and its very expensive.",,,,
Tekonsha,Keystone,25.00%,,,,,,
Teraflex,Teraflex,25.00%,10.00%,,,,,
Terminator Engineering,Terminator Engineering,28.73%,10.00%,,,,,
The Right Connection,Weaver's Diesel,21.69%,5.00%,,,,,
TireGate,TireGate,12.57-17.87%,0.00%,,,,,
Timbren,,,,,,,,
*Timbren from Keystone,Keystone,33.50%,,18% Back of Jobber,,,,
*Timbren from Turn14,Turn 14,35.10%,,20% Back of Jobber,,,,
Titan Fuel Tanks,Titan,15.80%,10.00%,$99 flat rate shipping on all tanks,,,,
,Premier,15.80%,,$80 flat rate on Ground Shipping / $150 on LTL,,,,
,XDP,15.80%,,,,,,
,Turn14,18.32%,,,,,,
,A1 Distributing,,,,,,,
TJM,Atech,25.00%,10.00%,Charge $9.95 shipping/dropship fee on every order under $400.  All orders over $400 ship for free,,,,
Toolbox Widget,Toolbox Widget,30.00%,,,,,,
Tonwerx,Tonwerx,20.00%,5.00%,,,,,
TorkTek,TorkTek,35.85%,15.00%,,,,,
Trailgater,Outback Adventure Products,,,,,,,
*Trailgater with Bamboo,,27.66%,10.00%,,,,,
*Trailgater  with Sanalite,,27.09%,10.00%,,,,,
TrailReady Wheels,TrailReady,25.00%,10.00%,,,,,
T-Rex Grilles,Meyer,26.96%,10.00%,,,,,
,Premier,25.00%,,,,,,
Trigger,AAC,40.15%,,,,,,
TS Performance,,,15.00%,Free Ground Shipping,,,,
*TS Performance 6 Position Chip,XDP  ,30.00%,,,,,,
*TS Performance MP8,XDP,30.00%,,,,,,
*TS Stryker,XDP,15.00%,,,,,,
*TS Dual CP3 Controller,XDP,30.00%,,,,,,
*TS MVP,XDP,30.00%,0.00%,,,,,
*TS Performance 6 Position Chip,Thoroughbred Diesel,40.00%,,Free Ground Shipping,,,,
*TS Performance,TS Performance,30.00%,, Dropship,,,,
*TS Performance,TS Performance,50.00%,23.00%,1000 Pieces = $150 per / 500 pieces = $75 per,,,,
,,,,,,,,
TST Products,TST Products,30.00%,15.00%,,,,,
*TST Products Install Power Kit,,25.25%,15.00%,,,,,
Tuffy Security Products,Meyer,22.50%,,,,,,
,Tuffy Security Products,20.00%,,,,,,
,Turn 14,20.00%,,plus an extra 6% promotional,,,,
,,,,,,,,
Turbo Time USA,Turbo Time USA,,,,,,,
*Turbo Time USA VGT Solenoids,Turbo Time USA,25.00%,,,,,,
*Turbo Time USA Turbos,Turbo Time USA,20.00%,,Freight Prepaid,,,,
Turbosmart,Premier,24.44%,10.00%,,,,,
,Hardway-Wastegates ONLY,25.72%,10.00%,,,,,
Valair Clutch,Valair Clutch,,,"Free Freight on Stock Orders +$5,000",,,,
*Valair Clutches,,31.00-35.00%,20.00%,,,,,
*Valair NMU70NV45DDSN,,31.93%,20.00%,,,,,
*Valair Dual Disc Organic - DMXDDS-ORG,,28.72%,15.00%,,,,,
*Valair Hydraulics,,34.97%,20.00%,,,,,
Victor Reinz,DPPI,25.00%,10.00%,,,,,
Volant,PPPWD,20.00%,5.00%,,,,,
Vossen Wheels,Turn 14,30.00%,,,,,,
WARN,PPPWD,,,,,,,
*Warn Winches,PPPWD,16-22%,0.00%,Except 16.5ti - only 9.01%,,,,
*Warn Hubs,PPPWD,20-24%,0.00%,,,,,
*Warn Ascent Bumpers,PPPWD,20.00%,0.00%,,,,,
,Meyer,21.94%,,,,,,
*Warn,Keystone,25.60%,,,,,,
,A1 Distributing,,,,,,,
WeatherTech,,,,,,,,
,PPPWD,40.50%,25.00%,,,,,
,Turn 14,40.50%,25.00%,$8 Flat Rate Shipping,,,,
,Meyer,40.50%,,,,,,
,A1 Distributing,,,,,,,
Weigh Safe,Meyer,22.40%,,,,,,
,A1 Distributing,,,,,,,
Westin,Westin,35.00%,,,,,,
Whelen,Whelen,25.00%,,,,,,
Wilwood Brakes,Wilwood Brakes,20.00%,10.00%,,,,,
XDP,XDP,20.00%,,"Extra 5% on stock orders (taking off the bottom line, results in a 24% margin)",,,,
XS Power Batteries,XS Power,25.00%,,,,,,
Yukon Gear & Axle,Randy's Ring & Pinion,,,,,,,
*Yukon Gears,,16.20-24.87%,5.00%,,,,,
*Yukon Axles,,42.21%-47.38,15.00%,,,,,
*Yukon Grizzly Lockers,,13.00%,0.00%,,,,,
"**Yukon Grizzly Lockers - 11.5"" 30 Spline",,20.29%,0.00%,,,,,
*Yukon Overhaul Kits,,27.76%,10.00%,,,,,
*Yukon Zip Locker,,11.78%,0.00%,,,,,
*Yukon Spin Free Kit,,11.80%,0.00%,,,,,
*Yukon CAD Delete Kit 94-99 Ram HD,,22.75%,10.00%,,,,,
,A1 Distributing,,,,,,,
Zone Suspension,BDS,30.00%,15.00%,MAP=Retail=Jobber,Free ship over $750,,,
,Turn 14,25.00%,,,,,,
,A1 Distributing,,,,,,,
ZROADZ,Meyer,25.00%,,,,,,
,ZROADZ / T-Rex,25.00%,,With $1500 buy-in,,,,
,ZROADZ / T-Rex,40.00%,,With $5000 buy-in,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
