f,,,,,,,,
,,,,,,,,
Manufacturer,Supplier,Average Discount from MAP,Reseller's Discount,,,,,
*Bosch Stock Injectors 11-16 6.7L Cab Chassis (Non-P/U),,30.00%,15.00%,,,,,
*Bosch Stock Injectors 13-16 Dodge Cummins P/U,,35.00%,20.00%,,,,,
*Bosch RV275 Injectors 98.5-02 5.9L 24V Dodge Cummins,,40.00%,20.00%,,,,,
*Bosch 12V 5.9L 370HP Marine Injectors (+75HP),,30.00%,15.00%,,,,,
*Bosch 12V 5.9L 350HP Marine Injectors (+40HP),,30.00%,15.00%,,,,,
*Bosch Stock Replacement Injectors 01-04.5 LB7,,25.00%,10.00%,,,,,
*Bosch Stock Replacement Injectors 04.5-05 LLY,,25.00%,20.00%,,,,,
*Bosch Stock Replacement Injectors 06 LBZ,,25.00%,15.00%,,,,,
*Bosch Stock Replacement Injectors 07-10 LMM,,25.00%,15.00%,,,,,
*Bosch CP3 Common Rail Injection Pump 03-07 5.9L Dodge Cummins,,30.00%,15.00%,,,,,
*Bosch CP3 Common Rail Injection Pump 01-04.5 LB7,,30.00%,15.00%,,,,,
*Bosch CP3 Common Rail Injection Pump 04.5-05 LLY,,30.00%,15.00%,,,,,
"*Bosch CP3 Common Rail Injection Pump 06-10 LBZ, LMM",,30.00%,15.00%,,,,,
*Bosch CP3 Common Rail Injection Pump 07.5-12 6.7L Dodge Cummins,,35.00%,20.00%,,,,,
*Bosch Connector Tubes 03-07.5 5.9L Dodge Cummins,,40.00%,20.00%,,,,,
*Bosch Connector Tubes  6.7L Dodge Cummins,,25.00%,10.00%,,,,,
*Bosch Fuel Rail 2007.5-12 Dodge Cummins 6.7L,,35.00%,20.00%,,,,,
*Bosch Fuel Rail 03-07.5 5.9L Dodge Cummins P/U,,45.00%,20.00%,,,,,
*Bosch 110 European Injector Nozzles 99-03 TDI Jetta,,40.00%,20.00%,,,,,
*Bosch Fuel Control Actuator 03-07 5.9L Dodge Cummins,,35.00%,20.00%,,,,,
