search_family,platform_family,vendor,display_name,official_website_url,search_url_template,runtime_preference,blocking_risk,verification_level
generic_q_search,generic_get_search,Holders Diesel,Holders Diesel,https://holdersdiesel.com/collections/all,https://holdersdiesel.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,ICON Alloys,ICON Alloys,https://iconvehicledynamics.com/collections/wheel,https://iconvehicledynamics.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,ICON Vehicle Dynamics,ICON Vehicle Dynamics,https://iconvehicledynamics.com/,https://iconvehicledynamics.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,JKS Manufacturing,JKS Manufacturing,https://jksmfg.com/,https://jksmfg.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,KC Turbos,KC Turbos,https://kcturbos.com/,https://kcturbos.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Kryptonite,Kryptonite Products,https://kryptoniteproducts.com/,https://kryptoniteproducts.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,MagnaFlow Exhaust,MagnaFlow Exhaust,https://www.magnaflow.com/,https://www.magnaflow.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,MBRP Exhaust,MBRP Exhaust,https://mbrpexhauststore.com/,https://mbrpexhauststore.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,Mel's Manufacturing,Mel's Manufacturing,https://www.melsmfg.com/,https://www.melsmfg.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Method Race Wheels,Method Race Wheels,https://www.methodracewheels.com/,https://www.methodracewheels.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Mob Armor,Mob Armor,https://www.mobarmor.com/,https://www.mobarmor.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Morimoto,Morimoto,https://www.morimotohid.com/,https://morimotohid.com/search?q={sku},http_first,low,probed
generic_q_search,generic_get_search,NRS Galvanized Brakes,NRS Galvanized Brakes,https://nrsbrakes.com/,https://nrsbrakes.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,OLM Lighting,OLM Lighting,https://olm.com/,https://olm.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Oracle Lighting,Oracle Lighting,http://oraclelighting.channelsync.com/,https://www.oraclelights.com/search?q={sku},http_first,low,verified
generic_q_search,generic_get_search,Performance Diesel Inc.,Performance Diesel Inc.,https://pdidiesel.com/,https://pdidiesel.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,"PPEI | Power Performance Enterprises, Inc | EFILive by Kory Willis","PPEI | Power Performance Enterprises, Inc | EFILive by Kory Willis",https://ppei.com/,https://ppei.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Pro Eagle Floor Jacks,Pro Eagle Floor Jacks,https://www.proeagle.com/,https://www.proeagle.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,PROJECT X,PROJECT X,https://projectxoffroad.com/,https://projectxoffroad.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,PSC,PSC Performance Steering Components,https://www.pscsteering.com/,https://www.pscsteering.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,PureDPF,PureDPF,https://www.puredpf.com/,https://www.puredpf.com/search?q={sku},http_first,low,detected
generic_q_search,generic_get_search,Racor,Racor,https://racorstore.com/,https://racorstore.com/search?q={sku},http_first,low,verified
