vendor,display_name,official_website_url,search_url_template,active_search_sku_1,active_search_sku_2,active_sample_status,active_sample_source,candidate_search_sku_1,candidate_search_sku_2,last_checked_utc,notes
Fleece Performance Engineering,Fleece Performance Engineering,https://www.fleeceperformance.com/,https://www.fleeceperformance.com/catalogsearch/result/?q={sku},FPE-CP3X2,FPE-34560,active,stage4_validated,FPE-CP3X2,FPE-RBC-1.5-0.5,2026-03-15T22:01:55Z,Stage 4 end-to-end validated (magento_catalogsearch / drop_first_dash_token)
Fleetguard Filters,Fleetguard Filters,https://fleet-reliable-filters.com/catalogs,https://fleet-reliable-filters.com/catalogsearch/result/index/?q={sku},,,pending_verification,discovery_seed,FG-LF9028,FG-FS19856,,Fallback candidate only until runtime validation confirms live SKUs.
Flex-A-Lite,Flex-A-Lite,https://flex-a-lite.com/,https://flex-a-lite.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,FAL-103961,FAL-104641,,Fallback candidate only until runtime validation confirms live SKUs.
Flowmaster,Flowmaster,https://the-flowmaster.com/,https://the-flowmaster.com/?s={sku},,,pending_verification,discovery_seed,FM-1078,FM-854040-10,,Fallback candidate only until runtime validation confirms live SKUs.
Fluidampr,Fluidampr,https://fluidampr.com/,https://fluidampr.com/?s={sku},FD-720211,FD-720221,active,stage4_validated,FD-720211,FD-720221,2026-03-15T21:12:07Z,Stage 4 end-to-end validated (wordpress_s_query / drop_first_dash_token)
Flyin Diesel,Flyin Diesel,https://flyindiesel.com/,https://flyindiesel.com/search.html?q={sku},,,pending_verification,discovery_seed,FD-5967-BLACK,FD-5967-STAINLESS,,Fallback candidate only until runtime validation confirms live SKUs.
Ford Motor Company,Ford Motor Company,https://corporate.ford.com/about/brands/,https://www.ford.com/search/?f%3AsearchInputString={sku},,,pending_verification,discovery_seed,FA-1757,FORD-3C3Z6049ARM,,Fallback candidate only until runtime validation confirms live SKUs.
Frantz Oil Filters,Frantz Oil Filters,https://www.frantzfilters.com/,https://www.frantzfilters.com/?s={sku},,,pending_verification,discovery_seed,FOF-FKPWR60,FOF-FKPWR73,,Fallback candidate only until runtime validation confirms live SKUs.
Fuel Bomb,Fuel Bomb,https://fuelbomb.com/,https://fuelbomb.com/?s={sku},,,pending_verification,discovery_seed,FB-002,FB-001/2-CASE-CASE,,Fallback candidate only until runtime validation confirms live SKUs.
Fuelab,Fuelab,https://fuelab.com/,https://fuelab.com/search.html?q={sku},,,pending_verification,discovery_seed,FL-50102,FL-50101,,Fallback candidate only until runtime validation confirms live SKUs.
Full Force Diesel,Full Force Diesel,https://www.fullforcediesel.com/about-us/,https://www.fullforcediesel.com/search?show_in_vexture=Yes&Search={sku},,,pending_verification,discovery_seed,FFD-FFD143,FFD-FFD162,,Fallback candidate only until runtime validation confirms live SKUs.
Full Send Diesel,Full Send Diesel,https://fullsenddiesel.com/,https://fullsenddiesel.com/search?q={sku},FSD-01-B,FSD-02-B,active,stage4_validated,FSD-01-B,FSD-02-B,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Fumoto Engineering,Fumoto Engineering,https://www.fumotousa.com/,https://www.fumotousa.com/?target=search&mode=search&substring={sku}&including=all,,,pending_verification,discovery_seed,F-104,F-106,,Fallback candidate only until runtime validation confirms live SKUs.
Garrett,Garrett,https://garrett.com/,https://garrett.com/?s={sku},,,pending_verification,discovery_seed,GAR-448486-0004,GAR-739619-5004S,,Fallback candidate only until runtime validation confirms live SKUs.
Gator Fasteners,Gator Fasteners,https://gatorfasteners.com/,,,,pending_verification,discovery_seed,GF-HSK64,GF-HSK5967C,,Fallback candidate only until runtime validation confirms live SKUs.
Gearhead Automotive Performance,Gearhead Automotive Performance,https://www.gearheadautomotive.co/,,,,pending_verification,discovery_seed,SCT-7015C60-SN,SCT-7015C60-AN,,Fallback candidate only until runtime validation confirms live SKUs.
Gen-Y Hitch,GEN-Y Hitch,https://genyhitch.com/,https://genyhitch.com/search?q={sku},GH-1201,GH-1301,active,stage4_validated,GH-060,GH-030,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Generic,Generic,,,,,pending_verification,discovery_seed,DPP-OCK-PSD-9403,DPP-OCK-CMNS,,Fallback candidate only until runtime validation confirms live SKUs.
Generic Manufacturer,Generic Manufacturer,,,,,pending_verification,discovery_seed,DPP-1G195,DPP-D3919358,,Fallback candidate only until runtime validation confirms live SKUs.
Generic Race Parts (GRP),Generic Race Parts (GRP),https://www.gregsraceparts.com/,https://www.gregsraceparts.com/search?q={sku},,,pending_verification,discovery_seed,GRP-FUELCAP,,,Fallback candidate only until runtime validation confirms live SKUs.
Glacier Diesel Power,Glacier Diesel Power,https://www.glacierdieselpower.com/,https://www.glacierdieselpower.com/search?q={sku},GDP-1012FE,GDP-0306FE,active,stage4_validated,GDP-1012FE,GDP-07509MAX,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Grizzly,Grizzly Products,https://www.grizzly.com/,https://www.grizzly.com/search?q={sku},,,pending_verification,discovery_seed,GZ-GA108,GZ-5327046,,Fallback candidate only until runtime validation confirms live SKUs.
H&S Motorsports,H&S Motorsports,https://hsmotorsports.com/,https://hsmotorsports.com/search?q={sku},,,pending_verification,discovery_seed,HS-121003,HSM-121005,,Fallback candidate only until runtime validation confirms live SKUs.
HPS Performance,HPS Performance,https://hpsperformanceproducts.com/,https://hpsperformanceproducts.com/pages/search-results-page?q={sku},HPS-57-2209,HPS-57-1539,active,stage4_validated,HPS-57-1539,HPS-57-1539-BLK,2026-03-15T22:17:09Z,Stage 4 end-to-end validated (path_or_query_search / drop_first_dash_token)
HUBB Reuseable Oil Filters,HUBB Reuseable Oil Filters,https://www.hubbfilters.com/,,,,pending_verification,discovery_seed,HUBB-3304,HUBB-8503,,Fallback candidate only until runtime validation confirms live SKUs.
Hamilton Cams,Hamilton Cams,https://hamiltoncams.com/,https://hamiltoncams.com/?s={sku},,,pending_verification,discovery_seed,HAM-SC-001,HAM-07-S-003,,Fallback candidate only until runtime validation confirms live SKUs.
Hawk Performance,Hawk Performance,https://www.hawkperformance.com/,,,,pending_verification,discovery_seed,HAWK-HTC4466,HAWK-HB552P.722,,Fallback candidate only until runtime validation confirms live SKUs.
Hays Clutches,Hays Clutches,https://www.holley.com/brands/hays/,https://www.holley.com/search/?q={sku},,,pending_verification,discovery_seed,HAYS-92D-3000,HAYS-92D-3001,,Fallback candidate only until runtime validation confirms live SKUs.
Heatshield Products,Heatshield Products,https://heatshieldproducts.com/,https://heatshieldproducts.com/?s={sku},,,pending_verification,discovery_seed,HP-300074,HP-300076,,Fallback candidate only until runtime validation confirms live SKUs.
Hellwig Products,Hellwig Products,https://www.hellwigproducts.com/,https://www.hellwigproducts.com/?s={sku},,,pending_verification,discovery_seed,HEL-7252,HEL-61901-FORD,,Fallback candidate only until runtime validation confirms live SKUs.
Highway Products,Highway Products,https://highwayproducts.com/,https://highwayproducts.com/?s={sku},,,pending_verification,discovery_seed,HP-4030-049,HP-580-00073-BK62,,Fallback candidate only until runtime validation confirms live SKUs.
Holders Diesel,Holders Diesel,https://holdersdiesel.com/collections/all,https://holdersdiesel.com/search?q={sku},HD-60-STK-PS,HD-73-STK-AAP,active,stage4_validated,HD-60-STK-PS,HD-73-STK-AAP,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Holset Turbochargers,Holset Turbochargers,https://turbochargersbyholset.com/,https://turbochargersbyholset.com/?s={sku},,,pending_verification,discovery_seed,HOL-4034315,HOL-3531810H,,Fallback candidate only until runtime validation confirms live SKUs.
Hot Shot's Secret High Performance Additives,Hot Shot's Secret High Performance Additives,https://www.hotshotsecret.com/,https://www.hotshotsecret.com/?s={sku},,,pending_verification,discovery_seed,HSS-AAL4Z,HSS-G5601GAL,,Fallback candidate only until runtime validation confirms live SKUs.
Hypertech,Hypertech,https://hypertech.com/,,,,pending_verification,discovery_seed,HYP-730127,HYP-730111,,Fallback candidate only until runtime validation confirms live SKUs.
ICON Alloys,ICON Alloys,https://iconvehicledynamics.com/collections/wheel,https://iconvehicledynamics.com/search?q={sku},IA-192050,IA-1220908150SB,active,stage4_validated,IA-192050,ICON-2017856350BR,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
ICON Vehicle Dynamics,ICON Vehicle Dynamics,https://iconvehicledynamics.com/,https://iconvehicledynamics.com/search?q={sku},ICON-71010,ICON-61111,active,stage4_validated,ICON-37024,ICON-37004,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
ISSPRO,ISSPRO,https://isspro.com/,https://isspro.com/Search/PartNoSearch?q={sku},ISS-R12503,,pending_verification,discovery_seed,ISS-R8912,ISS-R12505,,ISS-prefix SKUs give clean part numbers after drop_first_dash_token; ISSPRO- prefix gives opaque codes.
Industrial Injection,Industrial Injection,https://industrialinjection.com/,https://industrialinjection.com/search?type=product%2Carticle%2Cpage%2Ccollection&options[prefix]=last&q={sku},,,pending_verification,discovery_seed,II-227411,IIS-412603,,Fallback candidate only until runtime validation confirms live SKUs.
Injen Technology,Injen Technology,https://injen.com/,https://injen.com/search.html?q={sku},,,pending_verification,discovery_seed,INJ-EVO7008,INJ-EVO7009,,Fallback candidate only until runtime validation confirms live SKUs.
Irate Diesel Performance,Irate Diesel Performance,https://www.iratediesel.com/about-us/,https://www.iratediesel.com/?s={sku},,,pending_verification,discovery_seed,IDP-T4CMSSD,IDP-910SPRINGS,,Fallback candidate only until runtime validation confirms live SKUs.
JKS Manufacturing,JKS Manufacturing,https://jksmfg.com/,https://jksmfg.com/search?q={sku},JKS-JKS2033,JKS-JKS2943,active,stage4_validated,JKS-JKS2033,JKS-JKS2943,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
K&N Filters,K&N Filters,https://www.knfilters.com/,https://www.knfilters.com/search/{sku},KN-E-0776,KN-57-1532,active,stage4_validated,KN-E-0776,KN-57-1532,2026-03-15T22:44:01Z,Stage 4 validated (unknown / drop_first_dash_token)
KC HiLiTES,KC HiLiTES,https://www.kchilites.com/,https://www.kchilites.com/catalogsearch/result/?q={sku},KC-490,KC-238,active,stage4_validated,KC-490,KC-1359,2026-03-15T22:01:55Z,Stage 4 end-to-end validated (magento_catalogsearch / drop_first_dash_token)
KC Turbos,KC Turbos,https://kcturbos.com/,https://kcturbos.com/search?q={sku},KC-300365,KCT-300891,active,stage4_validated,KC-300365,KCT-300931,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Kelderman,Kelderman,https://kelderman.com/,https://kelderman.com/?s={sku},,,pending_verification,discovery_seed,KEL-69003,KEL-10007562,,Fallback candidate only until runtime validation confirms live SKUs.
Kleinn Air Horns,Kleinn Air Horns,https://kleinn.com/,https://kleinn.com/pages/search-results-page?q={sku},KLN-6880,KLN-6890,active,stage4_validated,KLN-6880,KLN-6890,2026-03-15T22:17:09Z,Stage 4 end-to-end validated (path_or_query_search / drop_first_dash_token)
Kryptonite,Kryptonite Products,https://kryptoniteproducts.com/,https://kryptoniteproducts.com/search?q={sku},KRY-KR175,KRY-KR280,active,stage4_validated,KRY-KR175,KRY-KRTR10,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
LRB Speed,LRB Speed,https://lrbspeed.com/,https://lrbspeed.com/?s={sku}&post_type=product,LRB-10380,LRB-187363,active,stage4_validated,LRB-10380,LRB-193143,2026-03-15T20:22:22Z,Stage 4 end-to-end validated (wordpress_s_query / drop_first_dash_token)
Longhorn Fab Shop,Longhorn Fab Shop,https://longhornfabshop.com/,https://longhornfabshop.com/search.php?search_query={sku},,,pending_verification,discovery_seed,LFS-201051,LFS-200997,,Fallback candidate only until runtime validation confirms live SKUs.
MAHLE,MAHLE,https://www.mahle.com/,https://www.mahle.com/en/search/?q={sku},,,pending_verification,discovery_seed,MAH-54174,MAH-CS54774-1,,Fallback candidate only until runtime validation confirms live SKUs.
MBRP Exhaust,MBRP Exhaust,https://mbrpexhauststore.com/,https://mbrpexhauststore.com/search?q={sku},,,pending_verification,discovery_seed,MBRP-T5156,MBRP-MDAL017,,Fallback candidate only until runtime validation confirms live SKUs.
MOOG,MOOG,https://www.moog.com/,https://moog.com/?s={sku},,,pending_verification,discovery_seed,MOG-479,MOG-464,,Fallback candidate only until runtime validation confirms live SKUs.
Mac's Custom Tie Downs,Mac's Custom Tie Downs,https://www.macscustomtiedowns.com/,https://www.macscustomtiedowns.com/search.aspx?ss={sku},,,pending_verification,discovery_seed,MAC-520215,MACS-520010,,Fallback candidate only until runtime validation confirms live SKUs.
Mag-Hytec,Mag-Hytec,https://mag-hytec.com/,https://mag-hytec.com/?s={sku},,,pending_verification,discovery_seed,MH-727-D,MH-F12-10.25-A & 10.5,,Fallback candidate only until runtime validation confirms live SKUs.
MagnaFlow Exhaust,MagnaFlow Exhaust,https://www.magnaflow.com/,https://www.magnaflow.com/search?q={sku},MF-12775,MF-12776,active,stage4_validated,MF-12775,MF-12776,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Manton Pushrods,Manton Pushrods,https://mantonpushrods.com/,https://mantonpushrods.com/?s={sku},,,pending_verification,discovery_seed,MP-D-505-24v,MP-D-505-24V,,Fallback candidate only until runtime validation confirms live SKUs.
MaxTrac Suspension,MaxTrac Suspension,https://maxtracsuspension.com/,https://maxtracsuspension.com/?s={sku},MT-993300,MT-993700,active,stage4_validated,MT-993300,MT-K853300-4,2026-03-15T21:12:07Z,Stage 4 end-to-end validated (wordpress_s_query / drop_first_dash_token)
McGaughy's Suspension Parts,McGaughy's Suspension Parts,https://mcgaughys.com/products-home-page/,https://mcgaughys.com/?s={sku},,,pending_verification,discovery_seed,MCG-51052,MCG-52357,,Fallback candidate only until runtime validation confirms live SKUs.
Mean Green,Mean Green,https://mean-green-cleaner.com/,https://mean-green-cleaner.com/?s={sku},,,pending_verification,discovery_seed,MEAN-MG7892,MEAN-MG7215,,Fallback candidate only until runtime validation confirms live SKUs.
Mechman Alternators,Mechman Alternators,https://www.mechman.com/,https://www.mechman.com/search.php?search_query={sku},,,pending_verification,discovery_seed,MECH-7796240,MECH-B11348400B,,Fallback candidate only until runtime validation confirms live SKUs.
Mel's Manufacturing,Mel's Manufacturing,https://www.melsmfg.com/,https://www.melsmfg.com/search?q={sku},MEL-40230,MEL-ST110,active,stage4_validated,MEL-6185,MEL-421111,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Merchant Automotive,Merchant Automotive,https://www.merchant-automotive.com/,https://www.merchant-automotive.com/shop/?search_query={sku},,,pending_verification,discovery_seed,MA-10813,MA-10000,,Fallback candidate only until runtime validation confirms live SKUs.
Method Race Wheels,Method Race Wheels,https://www.methodracewheels.com/,https://www.methodracewheels.com/search?q={sku},,,pending_verification,discovery_seed,MRW-MR301785,MRW-MR30168080500,,Fallback candidate only until runtime validation confirms live SKUs.
Mevotech,Mevotech,https://www.mevotech.com/,https://www.mevotech.com/?s={sku},,,pending_verification,discovery_seed,MT-MK7467,MT-MS25506,,Fallback candidate only until runtime validation confirms live SKUs.
Mile Marker,Mile Marker,https://www.milemarker.com/pages/about-us,,,,pending_verification,discovery_seed,MM-19-00105,35-5020-15,,Fallback candidate only until runtime validation confirms live SKUs.
Mishimoto,Mishimoto,https://www.mishimoto.com/,https://www.mishimoto.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,MISH-R1553,MISH-MMINT-F2D-11SL,,Fallback candidate only until runtime validation confirms live SKUs.
Mob Armor,Mob Armor,https://www.mobarmor.com/,https://www.mobarmor.com/search?q={sku},MOBM2-BLK-LG,MOB-MD,active,stage4_validated,MOBM2-BLK-LG,MOBN-PL-ACC,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Mopar | Factory OEM Dodge Ram,Mopar | Factory OEM Dodge Ram,https://www.mopar.com/en-us.html,https://www.mopar.com/en-us/search/results.html?search={sku},,,pending_verification,discovery_seed,MOP-52087514,MOP-68026995AB,,Fallback candidate only until runtime validation confirms live SKUs.
Morimoto,Morimoto,https://www.morimotohid.com/,https://morimotohid.com/search?q={sku},,,pending_verification,discovery_seed,MOR-LF553,MOR-LF505-ASM,,Fallback candidate only until runtime validation confirms live SKUs.
N-FAB,N-FAB,https://nfabco.com/,https://nfabco.com/?s={sku},,,pending_verification,discovery_seed,NFAB-F171MRDS,NFAB-F171MRDS-TX,,Fallback candidate only until runtime validation confirms live SKUs.
NAPA Filters,NAPA Filters,https://napa-filters.com/filter-lookup,,,,pending_verification,discovery_seed,NAPA-3408,NAPA-600064,,Fallback candidate only until runtime validation confirms live SKUs.
NOS Nitrous Oxide Systems,NOS Nitrous Oxide Systems,https://www.noswizard.com/,https://www.noswizard.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,NOS-02521NOS,NOS-02521BNOS,,Fallback candidate only until runtime validation confirms live SKUs.
NRS Galvanized Brakes,NRS Galvanized Brakes,https://nrsbrakes.com/,https://nrsbrakes.com/search?q={sku},NRS-NS909,NRS-NS859,active,stage4_validated,NRS-NS909,NRS-NS2250,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Nemesis Industries,Nemesis Industries,https://nem-ind.com/,https://nem-ind.com/catalogsearch/result/?q={sku},,,pending_verification,discovery_seed,NEM-121840,NEM-121841,,Fallback candidate only until runtime validation confirms live SKUs.
Nitro Gear & Axle,Nitro Gear & Axle,https://www.nitro-gear.com/,,,,pending_verification,discovery_seed,AEV-NRM43400AA,,,Fallback candidate only until runtime validation confirms live SKUs.
Nitrous Express,Nitrous Express,https://www.nitrousexpress.com/,https://www.nitrousexpress.com/search.asp?search_prod={sku},NX-20421,NX-60000,validated,searchspring_confirmed,NX-92206,NX-15542,2026-03-14,Searchspring site_id=k5zzdj. drop_first_dash_token strips NX- prefix; numeric SKUs (20421 60000) match bgfilter.sku directly. NXD-prefix diesel SKUs (NX-D1000) use NXD format internally and break bgfilter.ss_sku.
No Limit Fabrication,No Limit Fabrication,https://nolimitfabrication.com/,https://nolimitfabrication.com/search.html?q={sku},,,pending_verification,discovery_seed,NL-67OP,NL-67ICP11161,,Fallback candidate only until runtime validation confirms live SKUs.
OLM Lighting,OLM Lighting,https://olm.com/,https://olm.com/search?q={sku},,,pending_verification,discovery_seed,OLM-OLME.16016.1,OLM-OLME.16014.1,,Fallback candidate only until runtime validation confirms live SKUs.
Oracle Lighting,Oracle Lighting,http://oraclelighting.channelsync.com/,https://www.oraclelights.com/search?q={sku},,,pending_verification,discovery_seed,ORA-5865-504,ORA-5862-504,,Fallback candidate only until runtime validation confirms live SKUs.
PMF Suspension,PMF Suspension,https://www.pmfsuspension.com/,https://www.pmfsuspension.com/search.asp?keyword={sku},PMF-FRD-5004,,verified_runtime,end_to_end_validation,PMF-FRD-5004,PMF-SD-05PASSTR-XRF,2026-03-15T02:11:27+00:00,Prefer these SKUs for future validation runs.
PML Covers,PML Covers,https://pmlgarage.com/,https://yourcovers.com/search.html?Search={sku},PML-9393-B,PML-9323-B,active,stage4_validated,PML-9393-B,PML-11139-AC-DS,2026-03-15T22:17:09Z,Stage 4 end-to-end validated (path_or_query_search / drop_first_dash_token)
PPE (Pacific Performance Eng.),PPE (Pacific Performance Eng.),https://ppepower.com/,https://ppepower.com/search?type=product%2Cpage%2Carticle%2Ccollection&options%5Bunavailable_products%5D=show&options%5Bprefix%5D=last&q={sku},,,pending_verification,discovery_seed,PPE-1110100,PPE-113051000,,Fallback candidate only until runtime validation confirms live SKUs.
"PPEI | Power Performance Enterprises, Inc | EFILive by Kory Willis","PPEI | Power Performance Enterprises, Inc | EFILive by Kory Willis",https://ppei.com/,https://ppei.com/search?q={sku},,,pending_verification,discovery_seed,PPEI-EZLYNK30-LML,PPEI-AUTOCAL,,Fallback candidate only until runtime validation confirms live SKUs.
PROJECT X,PROJECT X,https://projectxoffroad.com/,https://projectxoffroad.com/search?q={sku},PX-AC538806-1,PX-AC538807-1,active,stage4_validated,PX-AC538806-1,PX-AC538807-1,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
PSC,PSC Performance Steering Components,https://www.pscsteering.com/,https://www.pscsteering.com/search?q={sku},PSC-SG851,PSC-SG853,active,stage4_validated,PSC-SG851,PSC-SG851R,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
PacBrake,PacBrake,https://pacbrake.com/,https://pacbrake.com/search.html?Search={sku},,,pending_verification,discovery_seed,PB-C11342,PB-C14010,,Fallback candidate only until runtime validation confirms live SKUs.
Paramount Automotive,Paramount Automotive,https://www.paramountauto.com/about/,,,,pending_verification,discovery_seed,,,,Fallback candidate only until runtime validation confirms live SKUs.
Performance Diesel Inc.,Performance Diesel Inc.,https://pdidiesel.com/,https://pdidiesel.com/search?q={sku},,,pending_verification,discovery_seed,PDI-3466CR,PDI-3467CR,,Fallback candidate only until runtime validation confirms live SKUs.
Power Driven Diesel,Power Driven Diesel,https://powerdriven.com/,https://powerdriven.com/pages/search?query={sku},PDD-22001211005,PDD-22001211003,validated,runtime_validation,PDD-22001211005,PDD-22001211003,,PDD-RIT0001 removed — not a real PDD SKU.
Power Products Unlimited,Power Products Unlimited,https://powerproductsunlimited.com/,https://powerproductsunlimited.com/?s={sku},,,pending_verification,discovery_seed,PPU-ARBCOMPMOUNT,,,Fallback candidate only until runtime validation confirms live SKUs.
Power Stroke Products,Power Stroke Products,https://powerstrokeproducts.com/,https://powerstrokeproducts.com/?s={sku},,,pending_verification,discovery_seed,PSP-PP-SS-12V,PSP-DMAXCAM192-200,,Fallback candidate only until runtime validation confirms live SKUs.
PowerStop,PowerStop,https://www.powerstop.com/about-us/,https://www.powerstop.com/?s={sku},PSB-SW-1218,PSB-AR85153,active,stage4_validated,PSB-SW-1218,PSB-Z36-2225,2026-03-15T21:12:07Z,Stage 4 end-to-end validated (wordpress_s_query / drop_first_dash_token)
Powermaster Performance Starters and Alternators,Powermaster Performance Starters and Alternators,https://www.powermasterperformance.com/about-us,https://www.powermasterperformance.com/catalogsearch/result/index/?q={sku},,,pending_verification,discovery_seed,PM-7767,PM-44007,,Fallback candidate only until runtime validation confirms live SKUs.
Pro Eagle Floor Jacks,Pro Eagle Floor Jacks,https://www.proeagle.com/,https://www.proeagle.com/search?q={sku},PE-ORJ34XM,PE-ORJ24XM,active,stage4_validated,PE-EXT8,PE-ORJ3B4X,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
ProActive Gears,ProActive Gears,https://www.proactivegears.com/,https://www.proactivegears.com/searchresults.asp?Search={sku}&Submit=,,,pending_verification,discovery_seed,PAG-21966,PAG-70-5600T,,Fallback candidate only until runtime validation confirms live SKUs.
Proforged,Proforged Steering & Suspension,https://proforged.com/,https://proforged.com/search/?query={sku},PROF-104-10966,PROF-113-10546,active,stage4_validated,PROF-104-10966,PROF-113-10546,,Fallback candidate only until runtime validation confirms live SKUs.
Prothane,Prothane,https://prothane.com/,https://prothane.com/?post_type=product&product_cat=&s={sku},,,pending_verification,discovery_seed,PRTH-7-141,PRTH-7-2043,,Fallback candidate only until runtime validation confirms live SKUs.
PureDPF,PureDPF,https://www.puredpf.com/,https://www.puredpf.com/search?q={sku},,,pending_verification,discovery_seed,PDPF-P-DPF-44003,PDPF-P-DPF-44001,,Fallback candidate only until runtime validation confirms live SKUs.
PurePower,PurePower,http://www.purepoweraps.com/,https://purepowertechnologies.com/?s={sku},PP-7782-PP,PP-7779-PP,active,stage4_validated,PP-7782-PP,PP-7779-PP,2026-03-15T20:22:22Z,Stage 4 end-to-end validated (wordpress_s_query / drop_first_dash_token)
Putco Truck Accessories,Putco Truck Accessories,https://www.putco.com/,https://www.putco.com/?s={sku},PUT-92801,PUT-92701,active,stage4_validated,PUT-92801,PUT-92701,2026-03-15T20:22:22Z,Stage 4 end-to-end validated (wordpress_s_query / drop_first_dash_token)
RECON Lighting,RECON Lighting,https://gorecon.com/,https://gorecon.com/search?q={sku},REC-26417,REC-264167,active,stage4_validated,REC-26413,REC-264276BKC,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Race Sport Lighting,Race Sport Lighting,https://www.racesportinc.com/,https://www.racesportinc.com/catalogsearch/result/index/?q={sku},,,pending_verification,discovery_seed,RSL-9FT3PE,RSL-1007656,,Fallback candidate only until runtime validation confirms live SKUs.
Racor,Racor,https://racorstore.com/,https://racorstore.com/search?q={sku},,,pending_verification,discovery_seed,RAC-RK4616,RAC-RK42043,,Fallback candidate only until runtime validation confirms live SKUs.
Ranch Hand,Ranch Hand,https://www.ranchhandbumpershop.com/about-us/,,,,pending_verification,discovery_seed,RNH-BBD948BLS,RNH-BBD100BLSS,,Fallback candidate only until runtime validation confirms live SKUs.
Rancho,Rancho,https://www.gorancho.com/,https://www.gorancho.com/search?q={sku}&options%5Bprefix%5D=last&type=product,RAN-RS5419,RAN-RS5415,active,stage4_validated,RAN-RS5419,RAN-RS55042,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
Rare Parts Steering and Suspension,Rare Parts Steering and Suspension,https://www.rareparts.com/,https://rareparts.com/search?q={sku},,,pending_verification,discovery_seed,RP20610,,,Fallback candidate only until runtime validation confirms live SKUs.
ReadyLIFT Suspension,ReadyLIFT Suspension,https://www.readylift.com/,https://www.readylift.com/catalogsearch/result/?cat=2&q={sku},,,pending_verification,discovery_seed,RL-69-4630,RL-66-2299,,Fallback candidate only until runtime validation confirms live SKUs.
Realtruck Superlift Suspension,RealTruck SuperLift Suspension,https://realtruck.com/b/superlift/,https://realtruck.com/search/?q={sku},,,pending_verification,discovery_seed,RT-146,SUP-2059,,Fallback candidate only until runtime validation confirms live SKUs.
Red-Head Steering Gears Inc.,Red-Head Steering Gears Inc.,https://redheadsteeringgears.com/,https://redheadsteeringgears.com/search?q={sku},,,pending_verification,discovery_seed,RH-2773,RH-2879U,,Fallback candidate only until runtime validation confirms live SKUs.
"Reid Racing, Inc.","Reid Racing, Inc.",https://www.reidracing.com/,https://www.reidracing.com/search?q={sku},REID-D60002FR,REID-D60005-2,active,stage4_validated,REID-D60005-2,REID-D60005-3,2026-03-15T22:33:49Z,Stage 4 end-to-end validated (generic_q_search / shopify_suggest_json / drop_first_dash_token)
RetroBright LED,RetroBright LED,https://www.holley.com/brands/holley_retrobright/,https://www.holley.com/search/?q={sku},,,pending_verification,discovery_seed,RB-LFRB130,RB-LFRB150,,Fallback candidate only until runtime validation confirms live SKUs.
Rev-X Oil & Fuel Additive,Rev-X Oil & Fuel Additive,https://revxoil.com/,https://revxoil.com/?s={sku},,,pending_verification,discovery_seed,Rev-X-0400,REV-X-LTFULLKIT,,Fallback candidate only until runtime validation confirms live SKUs.
RevMax Converters,RevMax Converters,https://www.revmaxconverters.com/,https://revmaxconverters.com/?s={sku},,,pending_verification,discovery_seed,REVM-478-311,REVM-10L1000-600,,Fallback candidate only until runtime validation confirms live SKUs.
