review_bucket,vendor,display_name,official_website_status,official_website_url,sample_sku,search_template_status,search_url_template,search_result_mode,resolver_hint,review_notes
probable_unresolved,Centerforce Performance Clutch,Centerforce Performance Clutch,probable,https://www.centerforce.com/,CFC-N1774,unresolved,,,,Search results page
probable_unresolved,Clutch Masters,Clutch Masters,probable,https://clutchmasters.com/,CM-05CM2-TD12R-S,unresolved,,,,Search returned no results
probable_unresolved,Dayco,Dayco,probable,https://www.dayco.com/,DC-71716,unresolved,,,,search-template fetch error: HTTP Error 403: Forbidden
probable_unresolved,DieselSite,DieselSite,probable,https://www.dieselsite.com/,DS-4WD,unresolved,,,,No visible search input found
probable_unresolved,Dorman,Dorman,probable,https://www.dormanproducts.com/,DOR-600-202,unresolved,,,,No visible search input found
probable_unresolved,Driven Diesel,Driven Diesel,probable,http://www.drivendiesel.com/,DD-73L-OBA,unresolved,,,,No visible search input found
probable_unresolved,DuramaxTuner.com,DuramaxTuner.com,probable,https://duramaxtuner.com/,DT-CPS200340,unresolved,,,,search-template fetch error: HTTP Error 405: Not Allowed
probable_unresolved,Eastern Industries,Eastern Industries,probable,http://eastern-industries.com/,EI-18-1575,unresolved,,,,No visible search input found
probable_unresolved,Edge Products,Edge Products,probable,https://www.edgeproducts.com/,EDG-28405,unresolved,,,,search-template fetch error: HTTP Error 403: Forbidden
probable_unresolved,Empire Performance Engineering,Empire Performance Engineering,probable,https://empireperformance.com.au/,,unresolved,,,,Bot challenge page
probable_unresolved,Expedition One,Expedition One,probable,https://www.expeditiononestore.com/,EXP1-FORDSD-17-FB-PC,unresolved,,,,Bot challenge page
