vendor,display_name,search_family,interaction_strategy,runtime_preference,blocking_risk,verification_level,sku,scrape_status,scrape_fields_found,scrape_error,search_provider,product_url,title,vendor_value,type,google_product_type,category_code,product_subtype,description_found,media_count,collections,tags,core_complete,remove_marked,remove_reason,excluded,exclusion_reason
SoCal SuperTrucks,SoCal SuperTrucks,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,SS-200200,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
SoCal SuperTrucks,SoCal SuperTrucks,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,SS-200215,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Tork Teknology,Tork Teknology,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,DPP-BBS010,fail X,,No SKU-specific product result found from search page.,,,,,,Motor Vehicle Parts,,,,0,,,,,,,
Tork Teknology,Tork Teknology,bigcommerce_search_php_query,results_page_clickthrough,http_first,low,verified,DPP-CBS010,success check,"title, description_html, media_urls, price, barcode, vendor, media_local_files",,search_seed,https://www.torkteknology.com/14mm-x-1-5-pressure-guage-adapter-snubber-cummins-12-valve-and-imports-cbs010/?searchid=23202&search_query=CBS010,Torkteknology 14MM X 1.5 Pressure Guage Adapter Snubber-12 Valve and Cummins,Torkteknology,Gauges,Motor Vehicle Sensors & Gauges,Gauges,Gauge Accessories,yes,0,,Cummins | gauges,yes,,,,
Camburg Suspension,Camburg Suspension,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,CAM-110081,success check,"title, media_urls, vendor, media_local_files",,,https://www.suspensionlifts.com/?post_type=product&s=110081&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701,SuspensionLifts.com You searched for 110081-,SuspensionLifts.com,,Motor Vehicle Parts,,,,0,,,,,,,
Camburg Suspension,Camburg Suspension,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,CAM-110136,success check,"title, media_urls, vendor, media_local_files",,,https://www.suspensionlifts.com/?post_type=product&s=110136&asp_active=1&p_asid=1&p_asp_data=1&filters_initial=1&filters_changed=0&qtranslate_lang=0&woo_currency=USD&current_page_id=701,SuspensionLifts.com You searched for 110136-,SuspensionLifts.com,,Motor Vehicle Parts,,,,0,,,,,,,
Camburg Suspension,Camburg Suspension,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,verified,CAM-230002,success check,"title, description_html, media_urls, price, vendor, media_local_files",,,https://www.suspensionlifts.com/shop/uncategorized/camburg-chevy-gmc-2500-3500-hd-2wd-4wd-01-10-steering-upgrade-kit/,SuspensionLifts.com Camburg / HD 2wd/4wd Steering Upgrade Kit 00-10 GM 2500 / 3500,SuspensionLifts.com,Suspension & Steering,Motor Vehicle Suspension Parts,Suspension & Steering,,yes,0,Suspension & Steering | 1992-2000 GM 6.5L Detroit,Chevy | duramaxsteering,yes,,,,
Fairchild Industries,Fairchild Industries,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,detected,FI-F1001,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://fairchildindustries.com/products/automotive-products/window-channels/f1001-complete-glass-run-window-channel-for-a-ford-bronco/,Fairchild Industries F1001-Complete Glass Run Window Channel for a Bronco Ford Powerstroke,Fairchild Industries,,Motor Vehicle Window Parts & Accessories,,,yes,0,,ford | EPA,,,,,
Fairchild Industries,Fairchild Industries,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,detected,FI-F3019,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://fairchildindustries.com/products/automotive-products/door-seals/f3019-door-seal-for-a-ford-bronco/,Fairchild Industries F3019-Door Seal for a Bronco Ford Powerstroke,Fairchild Industries,,Motor Vehicle Parts,,,yes,0,,ford | EPA,,,,,
Fairchild Industries,Fairchild Industries,custom_search,results_page_clickthrough,http_first_with_browser_fallback,low,detected,FI-F4052,success check,"title, description_html, media_urls, vendor, media_local_files",,search_seed,https://fairchildindustries.com/products/automotive-products/rear-window-seals/f4052-back-window-seal-for-a-ford-f-seriesfull-size-pickup/,Fairchild Industries F4052-Back Window Seal for a F Series Full Size Ford Powerstroke,Fairchild Industries,,Motor Vehicle Window Parts & Accessories,,,yes,0,,ford | EPA,,,,,
